Date,Open,High,Low,Close,Adj Close,Volume
2017-07-25,571.000000,573.200012,563.750000,566.650024,561.171143,187449
2017-07-26,569.849976,579.549988,567.000000,578.450012,572.857056,224227
2017-07-27,582.200012,582.200012,568.000000,573.099976,567.558716,259476
2017-07-28,567.000000,569.000000,549.599976,550.799988,545.474365,407346
2017-07-31,551.000000,552.500000,530.000000,531.700012,526.559021,508455
2017-08-01,532.000000,542.000000,530.049988,534.650024,529.480530,296392
2017-08-02,536.000000,537.500000,522.599976,524.250000,519.181091,293489
2017-08-03,525.000000,530.400024,514.000000,516.200012,511.208923,626937
2017-08-04,516.400024,516.500000,493.299988,506.649994,501.751251,899227
2017-08-07,507.799988,513.200012,505.000000,505.950012,501.058044,319373
2017-08-08,507.000000,508.250000,498.000000,500.399994,495.561676,368863
2017-08-09,489.000000,492.649994,472.200012,474.750000,470.159698,1149968
2017-08-10,473.950012,485.250000,451.000000,460.149994,455.700867,1139425
2017-08-11,460.899994,463.750000,445.049988,451.299988,446.936401,692564
2017-08-14,435.000000,477.500000,433.149994,472.500000,467.931458,1473279
2017-08-16,477.049988,486.850006,467.799988,485.200012,480.508667,1306981
2017-08-17,485.299988,491.000000,480.100006,488.600006,483.875793,799671
2017-08-18,485.399994,485.399994,467.000000,470.000000,465.455627,803111
2017-08-21,474.350006,474.899994,459.299988,460.549988,456.096985,639429
2017-08-22,462.100006,473.000000,462.000000,470.850006,466.297424,472977
2017-08-23,472.000000,475.899994,467.000000,468.750000,464.217712,320417
2017-08-24,469.000000,488.000000,469.000000,483.299988,478.627014,411392
2017-08-28,485.299988,499.700012,483.500000,492.750000,487.985657,549471
2017-08-29,491.950012,491.950012,480.000000,481.149994,476.497833,246710
2017-08-30,483.000000,489.500000,481.950012,483.799988,479.122162,151574
2017-08-31,484.700012,486.700012,476.100006,480.350006,475.705566,252080
2017-09-01,481.000000,491.950012,481.000000,486.950012,482.241760,264907
2017-09-04,485.000000,509.600006,478.649994,500.549988,495.710236,422637
2017-09-05,504.950012,504.950012,490.100006,493.399994,488.629395,699870
2017-09-06,488.000000,489.899994,473.500000,475.000000,470.407288,485485
2017-09-07,477.000000,483.399994,474.450012,480.049988,475.408447,265020
2017-09-08,476.350006,484.250000,467.200012,471.049988,466.495453,319584
2017-09-11,472.549988,476.700012,466.850006,468.649994,464.118683,346771
2017-09-12,475.000000,485.250000,471.049988,483.500000,478.825104,417695
2017-09-13,483.000000,510.299988,480.100006,502.950012,498.087067,927879
